Formula,Density,Temperature
Si2N2O,2.9,23
Si3N4,3.37,23
HfN,11.5,1600
HfN,11.6,1630
HfN,12.0,1700
HfN,12.6,1850
HfN,12.7,1920
HfN,12.8,1950
Al2O3,3.984,20
Al2O3,3.943,500
Al2O3,3.891,1000
Al2O3,3.868,1200
Al2O3,3.845,1400
Al2O3,3.834,1500
SiC,3.21,23
C,3.51525,298
Si3N4,3.23,23
Si3N4,3.24,25
SiC,3.17,23
SiC,3.16,23
SiC,3.21,296
ZrO2,5.7,23
Si3N4,3.23,23
Al2O3,3.986,298
Al2O3,3.988,298
Al2O3,3.989,298
Al2O3,3.991,298
Al2O3,3.992,298
Al2O3,3.994,298
Al2O3,3.996,298
Al2O3,3.997,298
Al2O3,3.999,298
Al2O3,4.0,298
Al2O3,4.002,298
Al2O3,3.992,77
Al2O3,3.9918,100
Al2O3,3.991,150
Al2O3,3.9896,200
Al2O3,3.9863,273
Al2O3,3.986,300
Al2O3,3.978,400
Al2O3,3.969,500
Al2O3,3.96,600
Al2O3,3.949,700
Al2O3,3.939,800
Al2O3,3.928,900
Al2O3,3.918,1000
Al2O3,3.907,1100
Al2O3,3.897,1200
Al2O3,3.886,1300
SiC,3.08,23
Al2O3,3.98,23
AlN,3.2,23
Si3N4,3.26,22
TiB2,4.5,20
TiB2,4.449,500
TiB2,4.389,1000
TiB2,4.363,1200
TiB2,4.322,1500
TiB2,4.248,2000
Si3N4,3.32,22
SiC,3.14,23
B4C,2.51,23
ZrO2,5.9,23
ZrO2,5.81,293
MgO,3.579,25
ZrO2,5.7,23
Si3N4,3.23,23
Si3N4,3.148,23
ZrO2,6.03,293
Al2O3,3.98,23
ZrO2,6.02,293
C,3.51,296
ZrO2,6.04,293
Al2O3,3.941,25
SiC,3.16,23
YBa2ZrO6,5.26,296
TiB2,4.5,20
TiB2,4.449,500
TiB2,4.389,1000
TiB2,4.363,1200
TiB2,4.322,1500
TiB2,4.248,2000
Al2O3,3.9,23
MgO,3.585,300
MgO,3.573,400
MgO,3.559,500
MgO,3.545,600
MgO,3.531,700
MgO,3.516,800
MgO,3.501,900
MgO,3.486,1000
MgO,2.47,1100
MgO,3.454,1200
MgO,3.438,1300
MgO,3.422,1400
MgO,3.405,1500
MgO,3.388,1600
MgO,3.371,1700
MgO,3.354,1800
ZrO2,5.71,293
Si2N2O,2.9,23
SiC,3.21,296
SiC,3.14,500
SiC,3.11,1000
SiC,3.1,1200
SiC,3.09,1400
SiC,3.08,1500
SiC,3.15,23
MgO,3.585,300
MgO,3.573,400
MgO,3.559,500
MgO,3.545,600
MgO,3.531,700
MgO,3.516,800
MgO,3.501,900
MgO,3.486,1000
MgO,2.47,1100
MgO,3.454,1200
MgO,3.438,1300
MgO,3.422,1400
MgO,3.405,1500
MgO,3.388,1600
MgO,3.371,1700
MgO,3.354,1800
Si3N4,3.1,23
Si3N4,3.23,23
ZrO2,5.7,23
SiC,3.08,23
SiC,3.14,23
MgO,3.48,296
TiB2,4.5,20
TiB2,4.449,500
TiB2,4.389,1000
TiB2,4.363,1200
TiB2,4.322,1500
TiB2,4.248,2000
Al2O3,3.98,23
TiB2,4.497,23
SiC,3.08,23
Al2O3,3.941,25
SiC,3.17,23
Si3N4,3.39,23
B4C,2.52,23
BN,3.48,23
Si3N4,3.37,23
WC,15.71,50
WC,15.71,100
WC,15.69,150
WC,15.69,200
WC,15.68,250
WC,15.68,298
WC,15.68,300
WC,15.67,350
WC,15.66,400
WC,15.66,450
WC,15.64,500
WC,15.63,550
WC,15.62,600
WC,15.61,650
WC,15.59,700
WC,15.58,750
WC,15.58,800
WC,15.57,850
WC,15.56,900
WC,15.54,950
WC,15.53,1000
WC,15.51,1100
WC,15.48,1200
WC,15.46,1300
WC,15.42,1400
WC,15.4,1500
WC,15.37,1600
WC,15.35,1700
WC,15.33,1800
WC,15.29,1900
WC,15.27,2000
WC,15.21,2200
WC,15.15,2400
WC,15.09,2600
WC,15.03,2800
WC,14.97,3000
SiC,3.17,23
Al2O3,3.972,25
SiC,3.06,23
SiC,3.16,23
Al2O3,3.9,23
ZrO2,5.71,293
YBa2ZrO6,5.26,296
ZrO2,5.7,23
Si3N4,3.148,23
Si3N4,3.25,23
TiB2,4.5,20
TiB2,4.449,500
TiB2,4.389,1000
TiB2,4.363,1200
TiB2,4.322,1500
TiB2,4.248,2000
Al2O3,3.984,20
Al2O3,3.943,500
Al2O3,3.891,1000
Al2O3,3.868,1200
Al2O3,3.845,1400
Al2O3,3.834,1500
ZrO2,6.04,293
SiC,3.1,23
TiB2,4.47,23
Si3N4,3.27,23
Al2O3,3.986,298
Al2O3,3.988,298
Al2O3,3.989,298
Al2O3,3.991,298
Al2O3,3.992,298
Al2O3,3.994,298
Al2O3,3.996,298
Al2O3,3.997,298
Al2O3,3.999,298
Al2O3,4.0,298
Al2O3,4.002,298
Al2O3,3.992,77
Al2O3,3.9918,100
Al2O3,3.991,150
Al2O3,3.9896,200
Al2O3,3.9863,273
Al2O3,3.986,300
Al2O3,3.978,400
Al2O3,3.969,500
Al2O3,3.96,600
Al2O3,3.949,700
Al2O3,3.939,800
Al2O3,3.928,900
Al2O3,3.918,1000
Al2O3,3.907,1100
Al2O3,3.897,1200
Al2O3,3.886,1300
Al2O3,3.9,23
Si3N4,3.23,23
AlN,3.258,296
Si3N4,3.39,23
SiC,3.14,23
SiC,3.15,23
SiC,3.08,23
SiC,3.06,23
SiC,3.12,23
B4C,2.51,23
